,ID,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,RevLineCr,LowDoc,MIS_Status,Sector,ApprovalFY,City,State,BankState,DisbursementGross,GrAppv,SBA_Appv,UrbanRural,train,NewBusiness,DisbursementYear,DisbursementMonth,DisbursementDay,ApprovalMonth,ApprovalDay
19,19,298,8,1.0,0,0,27760,,0,1,Other,2008,BERKELEY,CA,CA,135000.0,135000.0,101250.0,0,True,0.0,1995.0,1.0,31.0,1,9
34,34,297,8,1.0,0,0,0,,0,1,Other,2006,LAS VEGAS,NV,OH,239000.0,239000.0,179250.0,0,True,0.0,1995.0,4.0,30.0,2,22
46,46,61,7,1.0,0,0,1,,Y,1,Other,1995,EVANSVILLE,IN,IN,364000.0,364000.0,273000.0,0,True,0.0,1995.0,7.0,31.0,3,23
57,57,35,5,1.0,0,0,1,,N,1,Other,1994,HOUSTON,TX,AL,721000.0,721000.0,721000.0,0,True,0.0,1995.0,4.0,30.0,10,22
109,109,83,7,1.0,0,0,1,,N,1,Other,1995,SPRINGFIELD,IL,IL,102000.0,102000.0,102000.0,0,True,0.0,1995.0,4.0,30.0,1,11
123,123,41,7,2.0,0,0,1,,0,1,Other,2002,VISTA,CA,CA,720000.0,720000.0,540000.0,0,True,1.0,1995.0,4.0,30.0,5,3
133,133,237,9,1.0,0,0,1,,0,1,Other,1995,BURNSVILLE,MN,MN,230000.0,230000.0,172500.0,0,True,0.0,1995.0,4.0,30.0,1,11
281,281,61,128,1.0,0,0,1,,Y,1,Other,1998,LOUISVILLE,KY,DE,308000.0,308000.0,231000.0,0,True,0.0,1995.0,4.0,30.0,10,17
286,286,57,4,1.0,0,0,52900,,Y,1,Other,2004,SAN DIEGO,CA,SD,200000.0,200000.0,140000.0,0,True,0.0,1995.0,4.0,30.0,4,26
293,293,75,8,1.0,0,0,1,,N,1,Other,2005,SEVERNA PARK,MD,MD,135000.0,135000.0,101250.0,0,True,0.0,1995.0,4.0,30.0,11,9
308,308,83,3,2.0,0,0,72590,,Y,1,Wholesale_trade,2007,AKRON,OH,OH,30000.0,30000.0,27000.0,2,True,1.0,2001.0,3.0,14.0,9,28
330,330,58,7,1.0,0,0,1,,C,1,Wholesale_trade,1997,MARQUETTE,MI,MI,1333000.0,1333000.0,999750.0,1,True,0.0,1996.0,1.0,31.0,8,21
377,377,83,7,1.0,0,0,1,,Y,1,Other,1995,BOERNE,TX,CA,227000.0,227000.0,227000.0,0,True,0.0,1995.0,4.0,30.0,1,11
407,407,59,113,2.0,0,0,50954,,C,1,Other,2011,BOERNE,TX,CA,200000.0,200000.0,160000.0,0,True,1.0,1996.0,1.0,31.0,6,8
421,421,24,5,1.0,0,0,1,,Y,1,Educational,2005,HELENA,MT,MT,20000.0,20000.0,18000.0,0,True,0.0,1986.0,11.0,14.0,7,6
428,428,58,7,1.0,0,0,1,,Y,1,Arts/Entertain/Rec,2004,BROOKHAVEN,MS,MS,83000.0,83000.0,66400.0,0,True,0.0,1995.0,4.0,30.0,6,23
471,471,183,6,1.0,0,0,1,,N,1,Other,1997,MANCHESTER,NH,RI,140000.0,140000.0,119000.0,0,True,0.0,1995.0,4.0,30.0,8,18
591,591,81,6,1.0,0,0,49975,,0,1,Other,2004,AUSTIN,TX,IL,325000.0,325000.0,227500.0,0,True,0.0,1995.0,4.0,30.0,7,19
673,673,82,3,2.0,0,0,1,,Y,1,Construction,2004,GILLETTE,WY,WY,75000.0,75000.0,60000.0,0,True,1.0,1990.0,6.0,5.0,6,14
677,677,63,4,1.0,0,0,1,,Y,1,Other,1989,BROOKHAVEN,MS,MS,325000.0,325000.0,227500.0,0,True,0.0,1995.0,4.0,30.0,1,27
826,826,82,3,2.0,0,0,1,,Y,1,Construction,1997,GILLETTE,WY,WY,70000.0,70000.0,56000.0,2,True,1.0,2005.0,6.0,30.0,4,8
890,890,68,8,1.0,0,0,56825,,N,1,Other,1989,ADDISON,TX,TX,440000.0,440000.0,352000.0,0,True,0.0,1995.0,4.0,30.0,11,23
961,961,82,3,2.0,0,0,1,,Y,1,Construction,1989,ORLANDO,FL,FL,75000.0,75000.0,60000.0,2,True,1.0,1995.0,7.0,31.0,8,15
994,994,45,5,1.0,0,0,54300,,A,1,Other,1995,MALVERN,PA,PA,72000.0,72000.0,57600.0,0,True,0.0,1995.0,4.0,30.0,1,11
1069,1069,34,2,1.0,0,1,0,,N,0,Arts/Entertain/Rec,2004,LUTZ,FL,CA,27500.0,27500.0,24750.0,1,True,0.0,2006.0,10.0,31.0,6,8
1142,1142,82,2,2.0,0,0,0,,Y,1,Utilities,2000,ORLANDO,FL,FL,75000.0,75000.0,37500.0,2,True,1.0,1996.0,9.0,30.0,5,16
1149,1149,118,8,2.0,0,0,1,,Y,1,Other,1998,EVANSVILLE,IN,IN,700000.0,700000.0,525000.0,0,True,1.0,1995.0,7.0,31.0,10,17
1158,1158,83,7,1.0,0,0,1,,Y,1,Other,2001,BERKELEY,CA,CA,16000.0,16000.0,8000.0,0,True,0.0,1995.0,4.0,30.0,3,23
1304,1304,57,4,1.0,0,0,1,,Y,1,Other,2005,BURNSVILLE,MN,MN,272000.0,272000.0,272000.0,0,True,0.0,1995.0,4.0,30.0,6,23
1310,1310,293,157,1.0,0,0,1,,Y,1,Other,2004,HUMBOLDT,IA,IA,72000.0,72000.0,57600.0,0,True,0.0,1995.0,4.0,30.0,2,17
1328,1328,237,153,1.0,0,0,1,,N,1,Other,2005,ALBANY,NY,NY,140000.0,140000.0,119000.0,0,True,0.0,1995.0,7.0,31.0,9,9
1338,1338,179,181,1.0,0,0,1,,Y,1,Other,2002,EVANSVILLE,IN,IN,195000.0,195000.0,146250.0,0,True,0.0,1995.0,4.0,30.0,4,18
1412,1412,58,2,2.0,0,0,1,,C,1,Wholesale_trade,1993,HOUSTON,TX,NC,27500.0,27500.0,24750.0,0,True,1.0,1995.0,7.0,31.0,1,5
1451,1451,83,7,1.0,0,0,1,,N,1,Other,2007,BROOKHAVEN,MS,MS,4000.0,4000.0,3400.0,0,True,0.0,1995.0,4.0,30.0,8,24
1518,1518,82,1,2.0,0,0,1,,Y,1,Retail_trade,2007,COLUMBUS,OH,IL,10000.0,10000.0,9000.0,2,True,1.0,2003.0,7.0,16.0,8,6
1524,1524,58,5,1.0,0,0,44600,,Y,1,Other,1996,CANTON,OH,OH,81000.0,81000.0,68850.0,0,True,0.0,1995.0,4.0,30.0,4,25
1570,1570,119,5,1.0,0,0,1,,N,1,Wholesale_trade,1989,BERKELEY,CA,CA,5000.0,5000.0,4250.0,2,True,0.0,1995.0,4.0,30.0,1,27
1633,1633,83,5,1.0,0,0,1,,N,1,Other,1994,IDALOU,TX,TX,138000.0,138000.0,138000.0,0,True,0.0,1995.0,4.0,30.0,10,22
1744,1744,282,163,2.0,0,0,44350,,0,1,Other,2004,HUMBOLDT,IA,IA,268000.0,268000.0,268000.0,0,True,1.0,1995.0,4.0,30.0,10,22
1747,1747,91,9,1.0,0,0,1,,N,1,Other,2000,COLORADO SPRINGS,CO,SD,102000.0,102000.0,102000.0,0,True,0.0,1995.0,4.0,30.0,9,8
1773,1773,83,3,2.0,0,0,1,,Y,1,Construction,1996,GILLETTE,WY,WY,15000.0,15000.0,13500.0,2,True,1.0,1994.0,10.0,31.0,11,22
1782,1782,44,1,2.0,1,1,0,,S,0,Wholesale_trade,2006,WEST PALM BEACH,FL,NC,39000.0,39000.0,31200.0,2,True,1.0,2011.0,12.0,16.0,5,3
1816,1816,75,9,2.0,0,0,1,,Y,1,Other,1995,RHINELANDER,WI,WI,155000.0,155000.0,131750.0,0,True,1.0,1995.0,4.0,30.0,4,19
1828,1828,68,8,1.0,0,0,1,,Y,1,Other,2006,SAN MARCOS,TX,TX,23000.0,23000.0,19550.0,0,True,0.0,1995.0,4.0,30.0,10,20
